bond,Atom1,Atom2,confident_prediction,Rcov_sum,delta,R0_estimated,R0_empirical,B
Pt_N,Pt,N,1,2.07,0.2871729811508265,1.782827018849174,1.77,0.37
Au_N,Au,N,1,2.07,0.2861501238245124,1.783849876175488,1.72,0.37
Mg_O,Mg,O,1,2.07,0.3609884024582758,1.709011597541724,1.652,0.37
Ir_O,Ir,O,1,2.07,0.1481060799482163,1.921893920051783,1.916,0.37
Mn_F,Mn,F,1,2.07,0.374219036730644,1.695780963269356,1.697,0.37
At_F,At,F,1,2.07,-0.2101494578765186,2.280149457876519,,
Rn_F,Rn,F,0,2.07,-0.03289181616738196,2.102891816167382,,
S_Cl,S,Cl,1,2.07,0.05542055101678131,2.014579448983219,2.025,0.37
Am_He,Am,He,0,2.08,0.2911425561535275,1.788857443846473,,
Ni_B,Ni,B,1,2.08,0.330131206705348,1.749868793294652,,
Fe_O,Fe,O,1,2.08,0.3704347110693949,1.709565288930605,1.737,0.3699999999999999
Rh_O,Rh,O,1,2.08,0.3088164084109978,1.771183591589002,1.793,0.37
In_O,In,O,1,2.08,0.1794328284482951,1.900567171551705,1.902,0.37
Re_F,Re,F,1,2.08,0.2514668342981754,1.828533165701825,1.86,0.37
Mn_Ne,Mn,Ne,0,2.08,0.3750599536202522,1.704940046379748,,
At_Ne,At,Ne,0,2.08,-0.2039514398155686,2.283951439815569,,
Rn_Ne,Rn,Ne,0,2.08,-0.03105091332843096,2.111050913328431,,
Cl_Ar,Cl,Ar,0,2.08,0.04203646576785752,2.037963534232142,,
